smile,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class
CCn1c(SCC(=O)Nc2ccccc2C)nc2ccccc2c1=O,-2.8,-7.0,-10.0,8.5,A
CCn1c(SCC(=O)Nc2ccc(F)cc2F)nc2ccccc2c1=O,-3.2,-6.8,-10.3,,Unknown
CCn1c(SCC(=O)Nc2cc(F)ccc2F)nc2ccccc2c1=O,-3.7,-6.7,-10.1,,Unknown
CCn1c(SCC(=O)Nc2ccc(C)cc2F)nc2ccccc2c1=O,-2.6,-6.9,-10.4,,Unknown
CCn1c(SCC(=O)Nc2cc(C)cc(C)c2)nc2ccccc2c1=O,-0.9,-6.7,-10.2,,Unknown
CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nc2ccccc2c1=O,1.2,-6.5,-9.9,,Unknown
CCn1c(SCC(=O)Nc2cc(C)ccc2C)nc2ccccc2c1=O,0.1,-6.8,-9.9,,Unknown
CCn1c(SCC(=O)Nc2cccc(Cl)c2)nc2ccccc2c1=O,-2.7,-6.5,-9.9,,Unknown
CCn1c(SCC(=O)Nc2cccc(C)c2C)nc2ccccc2c1=O,-2.9,-6.7,-10.5,,Unknown
Cn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nc2ccccc2c1=O,-2.7,-7.1,-10.2,8.649999999999999,A
