Target,Mol_Index,Confidence,Category
4GM2,142,-0.82,Moderate (-1.5 to 0)
4GM2,420,-1.66,Low (<-1.5)
9N10,116,-1.75,Low (<-1.5)
6UKJ,239,-1.09,Moderate (-1.5 to 0)
4GM2,216,-1.56,Low (<-1.5)
4GM2,75,-1.85,Low (<-1.5)
6UKJ,93,-0.74,Moderate (-1.5 to 0)
9N10,202,-1.87,Low (<-1.5)
9N10,287,-1.61,Low (<-1.5)
4GM2,135,-0.93,Moderate (-1.5 to 0)
9N10,242,-1.25,Moderate (-1.5 to 0)
7F3Y,250,-1.19,Moderate (-1.5 to 0)
9N10,258,-1.16,Moderate (-1.5 to 0)
7F3Y,99,-0.6,Moderate (-1.5 to 0)
6UKJ,119,-1.49,Moderate (-1.5 to 0)
4GM2,125,-1.88,Low (<-1.5)
9N10,229,-1.65,Low (<-1.5)
7F3Y,405,-0.9,Moderate (-1.5 to 0)
9N10,152,-2.55,Low (<-1.5)
9N10,184,-1.73,Low (<-1.5)
6UKJ,333,-2.4,Low (<-1.5)
6UKJ,399,-1.64,Low (<-1.5)
6UKJ,101,-1.71,Low (<-1.5)
4GM2,219,-2.31,Low (<-1.5)
7F3Y,161,-0.54,Moderate (-1.5 to 0)
4GM2,123,-0.5,Moderate (-1.5 to 0)
6UKJ,65,-0.61,Moderate (-1.5 to 0)
4GM2,79,-0.41,Moderate (-1.5 to 0)
7F3Y,121,-0.75,Moderate (-1.5 to 0)
6UKJ,9,-1.68,Low (<-1.5)
4GM2,10,-1.63,Low (<-1.5)
7F3Y,419,-1.92,Low (<-1.5)
6UKJ,216,-1.71,Low (<-1.5)
7F3Y,380,-1.09,Moderate (-1.5 to 0)
6UKJ,355,-0.91,Moderate (-1.5 to 0)
4GM2,76,-1.05,Moderate (-1.5 to 0)
6UKJ,305,-1.56,Low (<-1.5)
7F3Y,182,-1.89,Low (<-1.5)
4GM2,43,,Missing
7F3Y,321,-0.81,Moderate (-1.5 to 0)
4GM2,398,-2.1,Low (<-1.5)
4GM2,50,-0.79,Moderate (-1.5 to 0)
6UKJ,67,-0.9,Moderate (-1.5 to 0)
6UKJ,370,-1.53,Low (<-1.5)
9N10,189,,Missing
7F3Y,187,-2.23,Low (<-1.5)
9N10,376,-2.11,Low (<-1.5)
6UKJ,126,-1.28,Moderate (-1.5 to 0)
4GM2,192,-1.65,Low (<-1.5)
9N10,290,-0.81,Moderate (-1.5 to 0)
6UKJ,46,-2.2,Low (<-1.5)
4GM2,292,-1.35,Moderate (-1.5 to 0)
9N10,305,-1.83,Low (<-1.5)
9N10,254,-1.45,Moderate (-1.5 to 0)
7F3Y,346,-1.03,Moderate (-1.5 to 0)
4GM2,195,-1.78,Low (<-1.5)
9N10,175,-1.26,Moderate (-1.5 to 0)
6UKJ,442,-1.03,Moderate (-1.5 to 0)
7F3Y,196,-1.54,Low (<-1.5)
9N10,134,-3.44,Low (<-1.5)
6UKJ,454,-1.79,Low (<-1.5)
4GM2,300,-0.8,Moderate (-1.5 to 0)
6UKJ,440,-0.67,Moderate (-1.5 to 0)
6UKJ,37,-1.16,Moderate (-1.5 to 0)
9N10,323,-1.84,Low (<-1.5)
9N10,399,-2.48,Low (<-1.5)
9N10,61,-1.59,Low (<-1.5)
6UKJ,167,-0.62,Moderate (-1.5 to 0)
7F3Y,325,-0.91,Moderate (-1.5 to 0)
4GM2,129,-0.47,Moderate (-1.5 to 0)
9N10,432,-1.58,Low (<-1.5)
6UKJ,235,-1.42,Moderate (-1.5 to 0)
9N10,379,-2.03,Low (<-1.5)
7F3Y,282,-1.67,Low (<-1.5)
7F3Y,335,-0.44,Moderate (-1.5 to 0)
7F3Y,85,-1.82,Low (<-1.5)
6UKJ,186,-0.66,Moderate (-1.5 to 0)
4GM2,450,-1.01,Moderate (-1.5 to 0)
4GM2,464,-1.63,Low (<-1.5)
6UKJ,468,-2.11,Low (<-1.5)
7F3Y,171,-1.45,Moderate (-1.5 to 0)
6UKJ,98,-0.4,Moderate (-1.5 to 0)
7F3Y,356,-0.64,Moderate (-1.5 to 0)
6UKJ,326,-0.55,Moderate (-1.5 to 0)
7F3Y,360,-1.86,Low (<-1.5)
6UKJ,26,-0.91,Moderate (-1.5 to 0)
4GM2,220,,Missing
7F3Y,401,-1.47,Moderate (-1.5 to 0)
4GM2,452,-2.62,Low (<-1.5)
7F3Y,457,-0.93,Moderate (-1.5 to 0)
4GM2,373,-1.74,Low (<-1.5)
7F3Y,472,-0.98,Moderate (-1.5 to 0)
7F3Y,204,-0.75,Moderate (-1.5 to 0)
7F3Y,66,-0.29,Moderate (-1.5 to 0)
9N10,348,-1.7,Low (<-1.5)
9N10,26,-2.28,Low (<-1.5)
9N10,295,-1.61,Low (<-1.5)
6UKJ,169,-0.4,Moderate (-1.5 to 0)
4GM2,78,-2.13,Low (<-1.5)
4GM2,351,-0.68,Moderate (-1.5 to 0)
7F3Y,192,-1.54,Low (<-1.5)
9N10,46,-1.63,Low (<-1.5)
9N10,62,-1.43,Moderate (-1.5 to 0)
9N10,316,-1.47,Moderate (-1.5 to 0)
9N10,296,-1.37,Moderate (-1.5 to 0)
4GM2,385,-0.68,Moderate (-1.5 to 0)
4GM2,289,-2.32,Low (<-1.5)
6UKJ,419,-1.62,Low (<-1.5)
4GM2,57,-0.26,Moderate (-1.5 to 0)
9N10,72,-1.59,Low (<-1.5)
9N10,407,-1.35,Moderate (-1.5 to 0)
7F3Y,25,-0.53,Moderate (-1.5 to 0)
4GM2,204,-1.85,Low (<-1.5)
7F3Y,184,-0.48,Moderate (-1.5 to 0)
6UKJ,27,-1.34,Moderate (-1.5 to 0)
9N10,429,-0.89,Moderate (-1.5 to 0)
9N10,123,-2.93,Low (<-1.5)
6UKJ,118,-1.25,Moderate (-1.5 to 0)
7F3Y,391,-1.38,Moderate (-1.5 to 0)
9N10,42,-1.98,Low (<-1.5)
7F3Y,7,-1.05,Moderate (-1.5 to 0)
4GM2,153,-0.82,Moderate (-1.5 to 0)
4GM2,227,-2.09,Low (<-1.5)
9N10,78,-1.72,Low (<-1.5)
4GM2,131,-1.65,Low (<-1.5)
6UKJ,29,-1.27,Moderate (-1.5 to 0)
7F3Y,195,-0.4,Moderate (-1.5 to 0)
7F3Y,79,-0.41,Moderate (-1.5 to 0)
4GM2,427,-0.33,Moderate (-1.5 to 0)
6UKJ,264,-2.52,Low (<-1.5)
9N10,384,-0.73,Moderate (-1.5 to 0)
7F3Y,218,-0.9,Moderate (-1.5 to 0)
7F3Y,355,-1.71,Low (<-1.5)
6UKJ,238,-1.61,Low (<-1.5)
4GM2,180,-1.68,Low (<-1.5)
4GM2,459,-0.86,Moderate (-1.5 to 0)
6UKJ,145,-1.65,Low (<-1.5)
7F3Y,72,-0.72,Moderate (-1.5 to 0)
4GM2,29,-2.4,Low (<-1.5)
9N10,103,-1.45,Moderate (-1.5 to 0)
7F3Y,16,-0.63,Moderate (-1.5 to 0)
4GM2,39,-1.61,Low (<-1.5)
9N10,163,-1.37,Moderate (-1.5 to 0)
7F3Y,122,-1.28,Moderate (-1.5 to 0)
9N10,324,-2.15,Low (<-1.5)
9N10,320,-2.2,Low (<-1.5)
6UKJ,403,-2.21,Low (<-1.5)
6UKJ,430,-0.8,Moderate (-1.5 to 0)
6UKJ,128,-1.09,Moderate (-1.5 to 0)
7F3Y,418,-1.12,Moderate (-1.5 to 0)
9N10,318,-2.03,Low (<-1.5)
4GM2,183,-1.13,Moderate (-1.5 to 0)
7F3Y,160,-0.25,Moderate (-1.5 to 0)
9N10,111,-1.94,Low (<-1.5)
6UKJ,383,-1.38,Moderate (-1.5 to 0)
4GM2,371,-1.47,Moderate (-1.5 to 0)
9N10,461,-1.72,Low (<-1.5)
4GM2,402,,Missing
6UKJ,130,-0.95,Moderate (-1.5 to 0)
9N10,4,-1.31,Moderate (-1.5 to 0)
7F3Y,259,-1.32,Moderate (-1.5 to 0)
9N10,230,-1.69,Low (<-1.5)
6UKJ,411,-2.29,Low (<-1.5)
4GM2,375,-2.63,Low (<-1.5)
9N10,431,-1.62,Low (<-1.5)
6UKJ,462,-1.62,Low (<-1.5)
9N10,174,-2.36,Low (<-1.5)
6UKJ,425,-1.35,Moderate (-1.5 to 0)
4GM2,413,-1.97,Low (<-1.5)
6UKJ,390,-1.41,Moderate (-1.5 to 0)
4GM2,119,-1.07,Moderate (-1.5 to 0)
9N10,336,-1.9,Low (<-1.5)
9N10,357,-1.04,Moderate (-1.5 to 0)
6UKJ,433,-1.05,Moderate (-1.5 to 0)
6UKJ,404,-0.59,Moderate (-1.5 to 0)
6UKJ,89,-1.39,Moderate (-1.5 to 0)
4GM2,354,-1.54,Low (<-1.5)
6UKJ,300,-1.28,Moderate (-1.5 to 0)
7F3Y,336,-1.09,Moderate (-1.5 to 0)
7F3Y,403,-1.61,Low (<-1.5)
4GM2,416,-1.92,Low (<-1.5)
7F3Y,243,-1.0,Moderate (-1.5 to 0)
7F3Y,474,-0.61,Moderate (-1.5 to 0)
7F3Y,169,-0.54,Moderate (-1.5 to 0)
4GM2,304,-1.84,Low (<-1.5)
7F3Y,296,-1.65,Low (<-1.5)
6UKJ,111,-1.56,Low (<-1.5)
7F3Y,131,-1.99,Low (<-1.5)
6UKJ,214,-1.3,Moderate (-1.5 to 0)
9N10,96,-2.51,Low (<-1.5)
7F3Y,62,-0.64,Moderate (-1.5 to 0)
4GM2,366,-0.52,Moderate (-1.5 to 0)
9N10,416,-1.96,Low (<-1.5)
4GM2,273,-1.59,Low (<-1.5)
7F3Y,456,-0.56,Moderate (-1.5 to 0)
6UKJ,287,-1.41,Moderate (-1.5 to 0)
9N10,122,-1.87,Low (<-1.5)
9N10,107,-2.42,Low (<-1.5)
7F3Y,348,-0.77,Moderate (-1.5 to 0)
6UKJ,146,-1.64,Low (<-1.5)
4GM2,148,-1.76,Low (<-1.5)
7F3Y,271,0.05,High (>0)
6UKJ,75,-1.91,Low (<-1.5)
4GM2,189,,Missing
4GM2,356,-2.35,Low (<-1.5)
4GM2,47,-1.33,Moderate (-1.5 to 0)
4GM2,63,-1.2,Moderate (-1.5 to 0)
9N10,402,,Missing
6UKJ,156,-1.23,Moderate (-1.5 to 0)
7F3Y,305,-0.86,Moderate (-1.5 to 0)
6UKJ,269,-1.47,Moderate (-1.5 to 0)
6UKJ,313,-0.94,Moderate (-1.5 to 0)
6UKJ,278,-1.75,Low (<-1.5)
9N10,104,-2.31,Low (<-1.5)
4GM2,314,-0.6,Moderate (-1.5 to 0)
7F3Y,0,-0.72,Moderate (-1.5 to 0)
7F3Y,313,-0.8,Moderate (-1.5 to 0)
4GM2,467,-2.13,Low (<-1.5)
6UKJ,389,-0.37,Moderate (-1.5 to 0)
6UKJ,11,,Missing
7F3Y,297,-0.94,Moderate (-1.5 to 0)
9N10,440,-1.91,Low (<-1.5)
6UKJ,410,-0.96,Moderate (-1.5 to 0)
7F3Y,377,-0.58,Moderate (-1.5 to 0)
9N10,211,-2.06,Low (<-1.5)
7F3Y,172,-0.73,Moderate (-1.5 to 0)
4GM2,168,-1.19,Moderate (-1.5 to 0)
6UKJ,48,-1.2,Moderate (-1.5 to 0)
4GM2,201,-1.78,Low (<-1.5)
4GM2,91,-2.49,Low (<-1.5)
9N10,474,-3.53,Low (<-1.5)
4GM2,333,-2.79,Low (<-1.5)
7F3Y,253,-1.3,Moderate (-1.5 to 0)
7F3Y,248,-1.34,Moderate (-1.5 to 0)
4GM2,122,-0.85,Moderate (-1.5 to 0)
7F3Y,301,-1.08,Moderate (-1.5 to 0)
4GM2,224,-0.71,Moderate (-1.5 to 0)
7F3Y,4,-1.29,Moderate (-1.5 to 0)
7F3Y,109,-0.18,Moderate (-1.5 to 0)
4GM2,428,-1.74,Low (<-1.5)
4GM2,146,-1.61,Low (<-1.5)
4GM2,2,-1.33,Moderate (-1.5 to 0)
6UKJ,122,-1.41,Moderate (-1.5 to 0)
9N10,347,-1.06,Moderate (-1.5 to 0)
4GM2,16,-1.65,Low (<-1.5)
6UKJ,384,-0.49,Moderate (-1.5 to 0)
6UKJ,303,-1.69,Low (<-1.5)
9N10,65,-0.93,Moderate (-1.5 to 0)
9N10,321,-1.17,Moderate (-1.5 to 0)
9N10,22,-1.57,Low (<-1.5)
9N10,200,-0.81,Moderate (-1.5 to 0)
6UKJ,59,-1.72,Low (<-1.5)
7F3Y,394,-0.42,Moderate (-1.5 to 0)
4GM2,231,-0.93,Moderate (-1.5 to 0)
9N10,360,-1.42,Moderate (-1.5 to 0)
9N10,449,-2.62,Low (<-1.5)
6UKJ,294,-1.48,Moderate (-1.5 to 0)
4GM2,390,-1.35,Moderate (-1.5 to 0)
4GM2,348,-1.25,Moderate (-1.5 to 0)
4GM2,19,-1.12,Moderate (-1.5 to 0)
4GM2,430,-2.76,Low (<-1.5)
6UKJ,110,-0.93,Moderate (-1.5 to 0)
9N10,468,-1.63,Low (<-1.5)
9N10,176,-2.55,Low (<-1.5)
9N10,45,-0.68,Moderate (-1.5 to 0)
9N10,18,-0.95,Moderate (-1.5 to 0)
7F3Y,210,-1.03,Moderate (-1.5 to 0)
7F3Y,384,-0.6,Moderate (-1.5 to 0)
9N10,315,-3.34,Low (<-1.5)
6UKJ,415,-1.18,Moderate (-1.5 to 0)
7F3Y,157,-1.1,Moderate (-1.5 to 0)
7F3Y,443,-0.67,Moderate (-1.5 to 0)
7F3Y,352,-0.76,Moderate (-1.5 to 0)
4GM2,250,-1.3,Moderate (-1.5 to 0)
4GM2,320,-1.72,Low (<-1.5)
7F3Y,134,-0.81,Moderate (-1.5 to 0)
7F3Y,232,-0.59,Moderate (-1.5 to 0)
6UKJ,242,-1.39,Moderate (-1.5 to 0)
7F3Y,178,-0.84,Moderate (-1.5 to 0)
6UKJ,284,-1.3,Moderate (-1.5 to 0)
7F3Y,155,-0.46,Moderate (-1.5 to 0)
9N10,206,-1.33,Moderate (-1.5 to 0)
4GM2,69,-1.27,Moderate (-1.5 to 0)
4GM2,175,-1.68,Low (<-1.5)
9N10,224,-1.01,Moderate (-1.5 to 0)
4GM2,33,-1.66,Low (<-1.5)
4GM2,71,-0.83,Moderate (-1.5 to 0)
4GM2,352,-1.39,Moderate (-1.5 to 0)
7F3Y,41,-1.57,Low (<-1.5)
9N10,91,-2.37,Low (<-1.5)
4GM2,437,-2.87,Low (<-1.5)
4GM2,107,-1.95,Low (<-1.5)
9N10,346,-1.56,Low (<-1.5)
6UKJ,201,-0.79,Moderate (-1.5 to 0)
6UKJ,177,-1.69,Low (<-1.5)
6UKJ,279,-1.24,Moderate (-1.5 to 0)
9N10,64,-0.76,Moderate (-1.5 to 0)
6UKJ,429,-0.81,Moderate (-1.5 to 0)
7F3Y,408,0.05,High (>0)
9N10,380,-2.69,Low (<-1.5)
4GM2,154,-0.23,Moderate (-1.5 to 0)
9N10,424,-2.49,Low (<-1.5)
9N10,204,-1.57,Low (<-1.5)
4GM2,229,-2.06,Low (<-1.5)
9N10,187,-2.18,Low (<-1.5)
9N10,446,-1.77,Low (<-1.5)
7F3Y,156,-0.79,Moderate (-1.5 to 0)
6UKJ,310,-0.78,Moderate (-1.5 to 0)
9N10,314,-2.87,Low (<-1.5)
9N10,231,-0.42,Moderate (-1.5 to 0)
9N10,401,-1.69,Low (<-1.5)
4GM2,340,-2.26,Low (<-1.5)
7F3Y,417,-0.77,Moderate (-1.5 to 0)
7F3Y,159,-1.64,Low (<-1.5)
7F3Y,351,-0.68,Moderate (-1.5 to 0)
7F3Y,148,-1.35,Moderate (-1.5 to 0)
9N10,43,-2.5,Low (<-1.5)
7F3Y,26,-0.32,Moderate (-1.5 to 0)
4GM2,149,-1.5,Low (<-1.5)
4GM2,84,-1.49,Moderate (-1.5 to 0)
9N10,408,0.07,High (>0)
9N10,304,-2.17,Low (<-1.5)
6UKJ,227,-1.18,Moderate (-1.5 to 0)
6UKJ,248,-0.78,Moderate (-1.5 to 0)
6UKJ,138,-1.39,Moderate (-1.5 to 0)
7F3Y,175,-1.52,Low (<-1.5)
9N10,409,-1.76,Low (<-1.5)
7F3Y,102,-0.83,Moderate (-1.5 to 0)
4GM2,353,-0.0,Moderate (-1.5 to 0)
4GM2,24,-1.7,Low (<-1.5)
9N10,121,-1.77,Low (<-1.5)
7F3Y,373,-0.75,Moderate (-1.5 to 0)
6UKJ,121,-1.45,Moderate (-1.5 to 0)
4GM2,118,-0.87,Moderate (-1.5 to 0)
9N10,153,-2.85,Low (<-1.5)
7F3Y,202,-1.58,Low (<-1.5)
9N10,356,-3.37,Low (<-1.5)
9N10,307,-1.29,Moderate (-1.5 to 0)
9N10,173,-2.55,Low (<-1.5)
9N10,269,-1.01,Moderate (-1.5 to 0)
4GM2,473,-0.99,Moderate (-1.5 to 0)
6UKJ,234,-1.23,Moderate (-1.5 to 0)
7F3Y,395,-1.09,Moderate (-1.5 to 0)
9N10,308,-3.63,Low (<-1.5)
7F3Y,374,-1.31,Moderate (-1.5 to 0)
6UKJ,461,-1.24,Moderate (-1.5 to 0)
9N10,168,-0.9,Moderate (-1.5 to 0)
9N10,270,-1.94,Low (<-1.5)
6UKJ,262,-1.88,Low (<-1.5)
4GM2,40,-0.7,Moderate (-1.5 to 0)
6UKJ,80,-1.68,Low (<-1.5)
6UKJ,182,-1.23,Moderate (-1.5 to 0)
9N10,391,-1.3,Moderate (-1.5 to 0)
6UKJ,314,-1.16,Moderate (-1.5 to 0)
4GM2,208,-1.52,Low (<-1.5)
6UKJ,12,-1.39,Moderate (-1.5 to 0)
9N10,70,-0.86,Moderate (-1.5 to 0)
7F3Y,283,-0.88,Moderate (-1.5 to 0)
7F3Y,52,-0.29,Moderate (-1.5 to 0)
7F3Y,430,-0.24,Moderate (-1.5 to 0)
4GM2,438,-1.83,Low (<-1.5)
9N10,441,-1.0,Moderate (-1.5 to 0)
9N10,101,-2.21,Low (<-1.5)
6UKJ,10,-1.53,Low (<-1.5)
7F3Y,75,-0.99,Moderate (-1.5 to 0)
9N10,41,-1.75,Low (<-1.5)
6UKJ,405,-1.01,Moderate (-1.5 to 0)
9N10,283,-1.57,Low (<-1.5)
9N10,158,-0.63,Moderate (-1.5 to 0)
9N10,370,-3.32,Low (<-1.5)
4GM2,233,-0.86,Moderate (-1.5 to 0)
7F3Y,20,-1.74,Low (<-1.5)
7F3Y,21,-1.36,Moderate (-1.5 to 0)
6UKJ,125,-0.75,Moderate (-1.5 to 0)
7F3Y,323,-1.55,Low (<-1.5)
4GM2,214,-2.18,Low (<-1.5)
7F3Y,8,-1.45,Moderate (-1.5 to 0)
7F3Y,142,-0.38,Moderate (-1.5 to 0)
4GM2,11,,Missing
4GM2,59,-2.31,Low (<-1.5)
4GM2,225,-1.35,Moderate (-1.5 to 0)
7F3Y,376,-1.24,Moderate (-1.5 to 0)
6UKJ,243,-1.28,Moderate (-1.5 to 0)
9N10,21,-1.79,Low (<-1.5)
9N10,406,-1.58,Low (<-1.5)
6UKJ,255,-0.43,Moderate (-1.5 to 0)
6UKJ,35,-1.32,Moderate (-1.5 to 0)
6UKJ,375,-1.74,Low (<-1.5)
7F3Y,344,-0.52,Moderate (-1.5 to 0)
9N10,367,-2.93,Low (<-1.5)
6UKJ,246,-1.32,Moderate (-1.5 to 0)
4GM2,419,-1.9,Low (<-1.5)
6UKJ,78,-0.95,Moderate (-1.5 to 0)
7F3Y,154,-0.46,Moderate (-1.5 to 0)
4GM2,335,-2.72,Low (<-1.5)
6UKJ,301,-1.46,Moderate (-1.5 to 0)
7F3Y,143,-1.3,Moderate (-1.5 to 0)
6UKJ,386,-1.41,Moderate (-1.5 to 0)
7F3Y,454,-1.28,Moderate (-1.5 to 0)
9N10,252,-0.89,Moderate (-1.5 to 0)
4GM2,443,-1.4,Moderate (-1.5 to 0)
4GM2,346,-1.15,Moderate (-1.5 to 0)
7F3Y,436,-2.0,Low (<-1.5)
9N10,186,-1.18,Moderate (-1.5 to 0)
9N10,355,-1.69,Low (<-1.5)
6UKJ,412,-0.92,Moderate (-1.5 to 0)
9N10,465,-1.99,Low (<-1.5)
6UKJ,378,-0.84,Moderate (-1.5 to 0)
6UKJ,222,-1.08,Moderate (-1.5 to 0)
9N10,333,-2.37,Low (<-1.5)
7F3Y,207,-1.41,Moderate (-1.5 to 0)
9N10,15,-1.63,Low (<-1.5)
9N10,71,-2.93,Low (<-1.5)
7F3Y,354,-1.24,Moderate (-1.5 to 0)
7F3Y,186,-0.67,Moderate (-1.5 to 0)
6UKJ,212,-0.95,Moderate (-1.5 to 0)
4GM2,55,-1.07,Moderate (-1.5 to 0)
6UKJ,124,-0.76,Moderate (-1.5 to 0)
7F3Y,220,-0.53,Moderate (-1.5 to 0)
9N10,136,-2.4,Low (<-1.5)
7F3Y,404,-0.31,Moderate (-1.5 to 0)
9N10,453,-1.94,Low (<-1.5)
4GM2,460,-2.41,Low (<-1.5)
7F3Y,234,-0.87,Moderate (-1.5 to 0)
7F3Y,393,-0.73,Moderate (-1.5 to 0)
6UKJ,33,-0.69,Moderate (-1.5 to 0)
7F3Y,5,-0.73,Moderate (-1.5 to 0)
9N10,264,-1.95,Low (<-1.5)
4GM2,203,-1.7,Low (<-1.5)
6UKJ,432,-1.86,Low (<-1.5)
9N10,157,-1.3,Moderate (-1.5 to 0)
4GM2,347,-1.4,Moderate (-1.5 to 0)
7F3Y,311,-1.31,Moderate (-1.5 to 0)
4GM2,445,-1.93,Low (<-1.5)
4GM2,61,-3.08,Low (<-1.5)
9N10,197,-1.64,Low (<-1.5)
7F3Y,46,-1.1,Moderate (-1.5 to 0)
6UKJ,254,-0.84,Moderate (-1.5 to 0)
7F3Y,125,-0.47,Moderate (-1.5 to 0)
4GM2,277,-2.17,Low (<-1.5)
6UKJ,190,,Missing
4GM2,31,-2.28,Low (<-1.5)
7F3Y,33,-0.42,Moderate (-1.5 to 0)
6UKJ,32,-1.59,Low (<-1.5)
6UKJ,38,-1.09,Moderate (-1.5 to 0)
9N10,30,-1.13,Moderate (-1.5 to 0)
6UKJ,188,-0.83,Moderate (-1.5 to 0)
9N10,39,-0.98,Moderate (-1.5 to 0)
7F3Y,233,-0.85,Moderate (-1.5 to 0)
9N10,53,-1.58,Low (<-1.5)
9N10,28,-1.49,Moderate (-1.5 to 0)
6UKJ,166,-0.86,Moderate (-1.5 to 0)
9N10,442,-2.21,Low (<-1.5)
4GM2,329,-1.61,Low (<-1.5)
7F3Y,465,-0.7,Moderate (-1.5 to 0)
7F3Y,22,-0.65,Moderate (-1.5 to 0)
9N10,319,-2.0,Low (<-1.5)
4GM2,81,-0.43,Moderate (-1.5 to 0)
9N10,371,-2.47,Low (<-1.5)
4GM2,65,-1.84,Low (<-1.5)
4GM2,186,-1.02,Moderate (-1.5 to 0)
4GM2,138,-2.06,Low (<-1.5)
7F3Y,240,-1.33,Moderate (-1.5 to 0)
9N10,400,-0.68,Moderate (-1.5 to 0)
6UKJ,229,-1.24,Moderate (-1.5 to 0)
9N10,291,-1.8,Low (<-1.5)
6UKJ,88,-1.57,Low (<-1.5)
4GM2,261,-2.0,Low (<-1.5)
4GM2,474,-1.34,Moderate (-1.5 to 0)
7F3Y,332,,Missing
6UKJ,391,-1.59,Low (<-1.5)
4GM2,164,-0.4,Moderate (-1.5 to 0)
4GM2,212,-1.32,Moderate (-1.5 to 0)
9N10,88,-1.77,Low (<-1.5)
9N10,63,-1.32,Moderate (-1.5 to 0)
7F3Y,27,-1.39,Moderate (-1.5 to 0)
9N10,232,-2.12,Low (<-1.5)
6UKJ,392,-2.07,Low (<-1.5)
9N10,284,-1.4,Moderate (-1.5 to 0)
6UKJ,170,-1.41,Moderate (-1.5 to 0)
6UKJ,414,-1.78,Low (<-1.5)
4GM2,34,-2.44,Low (<-1.5)
7F3Y,447,-1.77,Low (<-1.5)
7F3Y,428,-1.22,Moderate (-1.5 to 0)
4GM2,102,-2.33,Low (<-1.5)
6UKJ,253,-1.1,Moderate (-1.5 to 0)
7F3Y,309,-1.28,Moderate (-1.5 to 0)
7F3Y,228,-0.67,Moderate (-1.5 to 0)
6UKJ,104,-0.76,Moderate (-1.5 to 0)
6UKJ,50,-0.79,Moderate (-1.5 to 0)
7F3Y,69,-0.46,Moderate (-1.5 to 0)
4GM2,66,-1.52,Low (<-1.5)
6UKJ,395,-1.4,Moderate (-1.5 to 0)
7F3Y,398,-1.6,Low (<-1.5)
7F3Y,71,-1.09,Moderate (-1.5 to 0)
9N10,335,-0.91,Moderate (-1.5 to 0)
9N10,172,-0.77,Moderate (-1.5 to 0)
4GM2,278,-1.28,Moderate (-1.5 to 0)
6UKJ,359,-1.86,Low (<-1.5)
7F3Y,200,-0.72,Moderate (-1.5 to 0)
9N10,84,-1.62,Low (<-1.5)
4GM2,51,-1.8,Low (<-1.5)
7F3Y,388,-0.72,Moderate (-1.5 to 0)
6UKJ,192,-1.5,Low (<-1.5)
7F3Y,239,-0.67,Moderate (-1.5 to 0)
6UKJ,34,-1.65,Low (<-1.5)
9N10,354,-2.84,Low (<-1.5)
6UKJ,406,-1.46,Moderate (-1.5 to 0)
4GM2,109,-1.58,Low (<-1.5)
9N10,403,-1.46,Moderate (-1.5 to 0)
4GM2,405,-2.92,Low (<-1.5)
4GM2,115,-1.52,Low (<-1.5)
7F3Y,349,-1.3,Moderate (-1.5 to 0)
7F3Y,400,-0.19,Moderate (-1.5 to 0)
4GM2,345,-1.86,Low (<-1.5)
4GM2,110,-0.75,Moderate (-1.5 to 0)
7F3Y,217,-0.95,Moderate (-1.5 to 0)
7F3Y,137,-0.81,Moderate (-1.5 to 0)
4GM2,422,-1.18,Moderate (-1.5 to 0)
6UKJ,475,-1.8,Low (<-1.5)
6UKJ,398,-1.2,Moderate (-1.5 to 0)
6UKJ,421,-1.36,Moderate (-1.5 to 0)
4GM2,342,-1.81,Low (<-1.5)
7F3Y,238,-0.66,Moderate (-1.5 to 0)
6UKJ,2,-1.62,Low (<-1.5)
7F3Y,39,-1.83,Low (<-1.5)
9N10,20,-3.12,Low (<-1.5)
4GM2,323,-1.67,Low (<-1.5)
7F3Y,174,-0.96,Moderate (-1.5 to 0)
4GM2,406,-1.15,Moderate (-1.5 to 0)
7F3Y,473,-0.73,Moderate (-1.5 to 0)
4GM2,62,-1.17,Moderate (-1.5 to 0)
7F3Y,212,-0.49,Moderate (-1.5 to 0)
9N10,35,-0.63,Moderate (-1.5 to 0)
9N10,82,-2.96,Low (<-1.5)
6UKJ,437,-1.74,Low (<-1.5)
7F3Y,44,-0.99,Moderate (-1.5 to 0)
9N10,390,-1.6,Low (<-1.5)
9N10,327,-2.05,Low (<-1.5)
6UKJ,321,-0.96,Moderate (-1.5 to 0)
9N10,297,-3.92,Low (<-1.5)
9N10,32,-2.3,Low (<-1.5)
6UKJ,15,-1.37,Moderate (-1.5 to 0)
7F3Y,363,-0.36,Moderate (-1.5 to 0)
7F3Y,23,-0.73,Moderate (-1.5 to 0)
6UKJ,66,-1.02,Moderate (-1.5 to 0)
9N10,277,-2.59,Low (<-1.5)
7F3Y,409,-0.51,Moderate (-1.5 to 0)
7F3Y,50,-1.02,Moderate (-1.5 to 0)
6UKJ,225,-0.64,Moderate (-1.5 to 0)
4GM2,383,-1.16,Moderate (-1.5 to 0)
4GM2,150,-1.0,Moderate (-1.5 to 0)
9N10,147,-2.43,Low (<-1.5)
4GM2,14,-1.44,Moderate (-1.5 to 0)
9N10,97,-2.25,Low (<-1.5)
4GM2,343,-2.19,Low (<-1.5)
6UKJ,163,-0.58,Moderate (-1.5 to 0)
4GM2,265,-0.71,Moderate (-1.5 to 0)
7F3Y,263,-1.02,Moderate (-1.5 to 0)
7F3Y,314,-0.9,Moderate (-1.5 to 0)
6UKJ,162,-1.64,Low (<-1.5)
9N10,179,-1.11,Moderate (-1.5 to 0)
